company,activity,type,source,alternatives
https://www.kitkat.com/,1,chocolate,https://content.wisestep.com/companies-use-child-labor/,https://www.piperleaf.in/
https://www.loreal.com/en/,1,beauty and cosmetic,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.forestessentialsindia.com/
https://www.esteelauder.in/,1,beauty and cosmetic,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.forestessentialsindia.com/
https://www.maccosmetics.in/,1,beauty and cosmetic,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.forestessentialsindia.com/
https://www.rimmellondon.com/,1,beauty and cosmetic,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.forestessentialsindia.com/
https://www.bobbibrown.in/,1,beauty and cosmetic,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.forestessentialsindia.com/
https://www.clinique.in/,1,beauty and cosmetic,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.forestessentialsindia.com/
https://www.toofaced.eu/,1,beauty and cosmetic,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.forestessentialsindia.com/
https://www.schwarzkopf-professional.com/com/en.html,1,hair dye,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.forestessentialsindia.com/
https://www.intercos.com/,1,beauty and cosmetic,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.forestessentialsindia.com/
https://www.bmw.com/en/index.html,1,automobile,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.tatamotors.com/
http://www.vauxhall.co.uk/,1,automobile,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.tatamotors.com/
http://www.audi.com/,1,automobile,https://medium.com/@kavithakavy/child-labor-the-ugly-truth-about-the-beauty-industry-748974833d36,https://www.tatamotors.com/
https://www.armandhammer.com/,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.armani.com/,2,fashion,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com , https://www.fabindia.com/"
https://www.aussie.com/en-us,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.aveeno.com/,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.avon.co.in/,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.axe.com/us/en/home.html,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.benefitcosmetics.com/en-in,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
